mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	1.0	0	1/2	3/4	2	1		a.V{	a	i		V		V						{	M	1	1	1, 5, 2		1	1
2	1	1	1	4.0	0	0	3/4	2	1		i	a	i		i		i							m	1	1	0, -3, 1		0	0
3	2	5	5	1.0	1/4	1/4	3/4	2	1		V7(6)	a	i		V7(6)		V		7	6				Mm7	1	1	1, 5, -3, -1		1	1
3	2	6	6	1.0	1/2	1/2	3/4	2	1		V7	a	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
4	3	7	7	4.0	0	0	3/4	2	1		i	a	i		i		i							m	1	1	0, -3, 1		0	0
5	4	11	11	2.0	1/4	1/4	3/4	2	1		Ger7	a	i		Ger7	Ger	vii	o	7	b3	V			Ger	1	1	6, -4, 0, -3		6	6
6	5	13	13	6.0	0	0	3/4	2	1		i	a	i		i		i							m	1	1	0, -3, 1		0	0
8	7	19	19	2.0	0	0	3/4	2	1		V7	a	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
8	7	21	21	1.0	1/2	1/2	3/4	2	1		V7(6)	a	i		V7(6)		V		7	6				Mm7	1	1	1, 5, -3, -1		1	1
9	8	22	22	7.0	0	0	3/4	2	1		i|PAC}	a	i		i		i					PAC	}	m	1	1	0, -3, 1		0	0
9	8	24	24	0.0	1/2	1/2	3/4	2	1		{	a	i										{		1	1				
11	10	29	29	1.0	1/4	1/4	3/4	2	1		V7(6)	a	i		V7(6)		V		7	6				Mm7	1	1	1, 5, -3, -1		1	1
11	10	30	30	1.0	1/2	1/2	3/4	2	1		V7	a	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
12	11	31	31	4.0	0	0	3/4	2	1		i	a	i		i		i							m	1	1	0, -3, 1		0	0
13	12	35	35	2.0	1/4	1/4	3/4	2	1		Ger7	a	i		Ger7	Ger	vii	o	7	b3	V			Ger	1	1	6, -4, 0, -3		6	6
14	13	37	37	6.0	0	0	3/4	2	1		i	a	i		i		i							m	1	1	0, -3, 1		0	0
16	15	43	43	3.0	0	0	3/4	2	1		V7	a	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
17	16	46	46	3.0	0	0	3/4	2	1		i|PAC}	a	i		i		i					PAC	}	m	1	1	0, -3, 1		0	0
17	16	48	48	0.0	1/2	1/2	3/4	2	1		{	a	i										{		1	1				
18	17	49	49	4.0	0	0	3/4	2	1		V2/V	a	i		V2/V		V		2		V			Mm7	1	1	0, 2, 6, 3		2	0
