mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1.0	0	1/2	3/4	2	1		Ab.I{	Ab	I		I		I						{	M	0	0	0, 4, 1		0	0
2	1	1	3.0	0	0	3/4	2	1		V7	Ab	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
3	2	4	1.0	0	0	3/4	2	1		I	Ab	I		I		I							M	0	0	0, 4, 1		0	0
3	2	5	1.5	1/4	1/4	3/4	2	1		I(13)	Ab	I		I(13)		I			13				M	0	0	0, 4, 1	3	0	0
3	2	13/2	0.5	5/8	5/8	3/4	2	1		I	Ab	I		I		I							M	0	0	0, 4, 1		0	0
4	3	7	3.0	0	0	3/4	2	1		V7	Ab	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	4	10	2.0	0	0	3/4	2	1		I	Ab	I		I		I							M	0	0	0, 4, 1		0	0
5	4	12	1.0	1/2	1/2	3/4	2	1		V+/IV	Ab	I		V+/IV		V	+			IV			+	0	0	0, 4, 8		0	0
6	5	13	3.0	0	0	3/4	2	1		IV	Ab	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
7	6	16	3.0	0	0	3/4	2	1		V(64)	Ab	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
8	7	19	3.0	0	0	3/4	2	1		V7	Ab	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
9	8	22	2.0	0	0	3/4	2	1		I	Ab	I		I		I							M	0	0	0, 4, 1		0	0
9	8	24	1.0	1/2	1/2	3/4	2	1		V+/IV	Ab	I		V+/IV		V	+			IV			+	0	0	0, 4, 8		0	0
10	9	25	3.0	0	0	3/4	2	1		IV	Ab	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
11	10	28	3.0	0	0	3/4	2	1		V(64)	Ab	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
12	11	31	3.0	0	0	3/4	2	1		V7	Ab	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
13	12			0	0	3/4	2	1	1	I}	Ab	I		I		I						}	M	0	0	0, 4, 1		0	0
13	12			1/4	1/4	3/4	2	1	1	I|PAC	Ab	I		I		I					PAC		M	0	0	0, 4, 1		0	0
13	12			1/2	1/2	3/4	2	1	1	{	Ab	I										{		0	0				
14	12	34	1.0	0	0	3/4	2	1	2	I}	Ab	I		I		I						}	M	0	0	0, 4, 1		0	0
14	12	35	1.0	1/4	1/4	3/4	2	1	2	I|PAC	Ab	I		I		I					PAC		M	0	0	0, 4, 1		0	0
14	12	36	1.0	1/2	1/2	3/4	2	1	2	I6{	Ab	I		I6		I		6				{	M	0	0	4, 1, 0		0	4
15	13	37	1.0	0	0	3/4	2	1		#viio7/iii	Ab	I		#viio7/iii		#vii	o	7		iii			o7	0	0	9, 6, 3, 0		9	9
15	13	38	1.0	1/4	1/4	3/4	2	1		iii	Ab	I		iii		iii							m	0	0	4, 1, 5		4	4
15	13	39	1.0	1/2	1/2	3/4	2	1		#viio7/ii	Ab	I		#viio7/ii		#vii	o	7		ii			o7	0	0	7, 4, 1, -2		7	7
16	14	40	1.0	0	0	3/4	2	1		ii	Ab	I		ii		ii							m	0	0	2, -1, 3		2	2
16	14	41	1.0	1/4	1/4	3/4	2	1		viio7	Ab	I		viio7		vii	o	7					o7	0	0	5, 2, -1, -4		5	5
16	14	42	1.0	1/2	1/2	3/4	2	1		I	Ab	I		I		I							M	0	0	0, 4, 1		0	0
17	15	43	1.0	0	0	3/4	2	1		#viio7/iii	Ab	I		#viio7/iii		#vii	o	7		iii			o7	0	0	9, 6, 3, 0		9	9
17	15	44	1.0	1/4	1/4	3/4	2	1		iii	Ab	I		iii		iii							m	0	0	4, 1, 5		4	4
17	15	45	1.0	1/2	1/2	3/4	2	1		#viio7/ii	Ab	I		#viio7/ii		#vii	o	7		ii			o7	0	0	7, 4, 1, -2		7	7
18	16	46	1.0	0	0	3/4	2	1		ii	Ab	I		ii		ii							m	0	0	2, -1, 3		2	2
18	16	47	1.0	1/4	1/4	3/4	2	1		viio7	Ab	I		viio7		vii	o	7					o7	0	0	5, 2, -1, -4		5	5
18	16	48	1.0	1/2	1/2	3/4	2	1		I	Ab	I		I		I							M	0	0	0, 4, 1		0	0
19	17	49	1.0	0	0	3/4	2	1		viio7	Ab	I		viio7		vii	o	7					o7	0	0	5, 2, -1, -4		5	5
19	17	50	1.0	1/4	1/4	3/4	2	1		I	Ab	I		I		I							M	0	0	0, 4, 1		0	0
19	17	51	1.0	1/2	1/2	3/4	2	1		viio65/V	Ab	I		viio65/V		vii	o	65		V			o7	0	0	3, 0, -3, 6		6	3
20	18	52	1.0	0	0	3/4	2	1		viio	Ab	I		viio		vii	o						o	0	0	5, 2, -1		5	5
20	18	53	1.0	1/4	1/4	3/4	2	1		V65/vi	Ab	I		V65/vi		V		65		vi			Mm7	0	0	8, 5, 2, 4		4	8
20	18	54	1.0	1/2	1/2	3/4	2	1		vi	Ab	I		vi		vi							m	0	0	3, 0, 4		3	3
21	19	55	1.0	0	0	3/4	2	1		V65/vi	Ab	I		V65/vi		V		65		vi			Mm7	0	0	8, 5, 2, 4		4	8
21	19	56	1.0	1/4	1/4	3/4	2	1		vi	Ab	I		vi		vi							m	0	0	3, 0, 4		3	3
21	19	57	1.0	1/2	1/2	3/4	2	1		.Fr6/vi	Ab	I		Fr6/vi	Fr	V		43	b5	V/vi			Fr	0	0	-1, 3, 5, 9		5	-1
22	20	58	14.0	0	0	3/4	2	1		V/vi|HC}	Ab	I		V/vi		V				vi	HC	}	M	0	0	4, 8, 5		4	4
26	24	72	4.0	1/2	1/2	3/4	2	1		V7{	Ab	I		V7		V		7				{	Mm7	0	0	1, 5, 2, -1		1	1
28	26	76	1.0	0	0	3/4	2	1		I	Ab	I		I		I							M	0	0	0, 4, 1		0	0
28	26	77	1.5	1/4	1/4	3/4	2	1		I(13)	Ab	I		I(13)		I			13				M	0	0	0, 4, 1	3	0	0
28	26	157/2	0.5	5/8	5/8	3/4	2	1		I	Ab	I		I		I							M	0	0	0, 4, 1		0	0
29	27	79	3.0	0	0	3/4	2	1		V7	Ab	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
30	28	82	2.0	0	0	3/4	2	1		I	Ab	I		I		I							M	0	0	0, 4, 1		0	0
30	28	84	1.0	1/2	1/2	3/4	2	1		V+/IV	Ab	I		V+/IV		V	+			IV			+	0	0	0, 4, 8		0	0
31	29	85	3.0	0	0	3/4	2	1		IV	Ab	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
32	30	88	3.0	0	0	3/4	2	1		V(64)	Ab	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
33	31	91	3.0	0	0	3/4	2	1		V7	Ab	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
34	32	94	2.0	0	0	3/4	2	1		I	Ab	I		I		I							M	0	0	0, 4, 1		0	0
34	32	96	1.0	1/2	1/2	3/4	2	1		V+/IV	Ab	I		V+/IV		V	+			IV			+	0	0	0, 4, 8		0	0
