mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	c#.V{						c#	i		V		V						{	M	1	1	8, 12, 9		8.0	8.0	0	4	0.0	0.0	1.0	0.0
1	1	1/4	1/4	3/4	2	1	V(#9)						c#	i		V(#9)		V			#9				M	1	1	8, 12, 9	10	8.0	8.0	0	4	0.0	0.0	1.75	0.0
1	1	1/2	1/2	3/4	2	1	V						c#	i		V		V							M	1	1	8, 12, 9		8.0	8.0	1	6	0.14285714285714285	0.125	1.125	0.1
2	2	1/4	1/4	3/4	2	1	V(4)						c#	i		V(4)		V			4				M	1	1	8, 7, 9		8.0	8.0	1	4	0.2	0.125	1.875	0.0625
3	3	0	0	3/4	2	1	V						c#	i		V		V							M	1	1	8, 12, 9		8.0	8.0	1	5	0.16666666666666666	0.08333333333333333	0.9166666666666666	0.08333333333333333
3	3	1/4	1/4	3/4	2	1	V(#9)						c#	i		V(#9)		V			#9				M	1	1	8, 12, 9	10	8.0	8.0	0	4	0.0	0.0	1.75	0.0
3	3	1/2	1/2	3/4	2	1	V						c#	i		V		V							M	1	1	8, 12, 9		8.0	8.0	4	14	0.2222222222222222	0.375	3.875	0.08823529411764706
5	5	1/4	1/4	3/4	2	1	V(#9)						c#	i		V(#9)		V			#9				M	1	1	8, 12, 9	10	8.0	8.0	0	4	0.0	0.0	1.0	0.0
5	5	1/2	1/2	3/4	2	1	V						c#	i		V		V							M	1	1	8, 12, 9		8.0	8.0	1	9	0.1	0.125	1.875	0.0625
6	6	1/4	1/4	3/4	2	1	V(4)						c#	i		V(4)		V			4				M	1	1	8, 7, 9		8.0	8.0	0	5	0.0	0.0	0.875	0.0
6	6	3/8	3/8	3/4	2	1	V						c#	i		V		V							M	1	1	8, 12, 9		8.0	8.0	0	1	0.0	0.0	0.125	0.0
