mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	1/2	3/4	2	1	a.i6{					a	i		i6		i		6				{	m	1	1	0, 4, 3		3.0	0.0	0	6	0.0	0.0	1.5	0.0
2	1	1/4	1/4	3/4	2	1	V					a	i		V		V							M	1	1	4, 8, 5		4.0	4.0	0	4	0.0	0.0	1.5	0.0
2	1	5/8	5/8	3/4	2	1	V(#94)					a	i		V(#94)		V			#94				M	1	1	4, 3, 5	6	4.0	4.0	0	4	0.0	0.0	0.5	0.0
3	2	0	0	3/4	2	1	V					a	i		V		V							M	1	1	4, 8, 5		4.0	4.0	0	4	0.0	0.0	0.75	0.0
3	2	3/16	3/16	3/4	2	1	i					a	i		i		i							m	1	1	3, 0, 4		3.0	3.0	0	4	0.0	0.0	0.25	0.0
3	2	1/4	1/4	3/4	2	1	V(6)					a	i		V(6)		V			6				M	1	1	4, 8, 0		4.0	4.0	0	4	0.0	0.0	2.0	0.0
4	3	0	0	3/4	2	1	V7					a	i		V7		V		7					Mm7	1	1	4, 8, 5, 2		4.0	4.0	0	4	0.0	0.0	0.75	0.0
4	3	3/16	3/16	3/4	2	1	i					a	i		i		i							m	1	1	3, 0, 4		3.0	3.0	0	4	0.0	0.0	0.25	0.0
4	3	1/4	1/4	3/4	2	1	V					a	i		V		V							M	1	1	4, 8, 5		4.0	4.0	1	5	0.16666666666666666	0.0	1.0	0.0
4	3	1/2	1/2	3/4	2	1	V(#94)					a	i		V(#94)		V			#94				M	1	1	4, 3, 5	6	4.0	4.0	0	4	0.0	0.0	1.0	0.0
5	4	0	0	3/4	2	1	V					a	i		V		V							M	1	1	4, 8, 5		4.0	4.0	0	4	0.0	0.0	0.8125	0.0
5	4	1/8	1/8	3/4	2	1	V7					a	i		V7		V		7					Mm7	1	1	4, 8, 5, 2		4.0	4.0	0	3	0.0	0.0	0.1875	0.0
5	4	1/4	1/4	3/4	2	1	i64					a	i		i64		i		64					m	1	1	4, 3, 0		3.0	4.0	2	5	0.2857142857142857	0.125	1.75	0.06666666666666667
5	4	5/8	5/8	3/4	2	1	i					a	i		i		i							m	1	1	3, 0, 4		3.0	3.0	0	1	0.0	0.0	0.125	0.0
6	5	0	0	3/4	2	1	V(64)/III					a	i		V(64)/III		V			64	III			M	1	1	1, 0, 4		1.0	1.0	0	4	0.0	0.0	1.0	0.0
6	5	1/4	1/4	3/4	2	1	V/III					a	i		V/III		V				III			M	1	1	1, 5, 2		1.0	1.0	0	4	0.0	0.0	1.5	0.0
6	5	5/8	5/8	3/4	2	1	V(94)/III					a	i		V(94)/III		V			94	III			M	1	1	1, 0, 2	3	1.0	1.0	0	4	0.0	0.0	0.5	0.0
7	6	0	0	3/4	2	1	V/III					a	i		V/III		V				III			M	1	1	1, 5, 2		1.0	1.0	0	4	0.0	0.0	0.75	0.0
7	6	3/16	3/16	3/4	2	1	III					a	i		III		III							M	1	1	0, 4, 1		0.0	0.0	0	4	0.0	0.0	0.25	0.0
7	6	1/4	1/4	3/4	2	1	V(6)/III					a	i		V(6)/III		V			6	III			M	1	1	1, 5, 4		1.0	1.0	0	4	0.0	0.0	2.0	0.0
8	7	0	0	3/4	2	1	V7/III					a	i		V7/III		V		7		III			Mm7	1	1	1, 5, 2, -1		1.0	1.0	0	4	0.0	0.0	0.75	0.0
8	7	3/16	3/16	3/4	2	1	III					a	i		III		III							M	1	1	0, 4, 1		0.0	0.0	0	4	0.0	0.0	0.25	0.0
8	7	1/4	1/4	3/4	2	1	V/III					a	i		V/III		V				III			M	1	1	1, 5, 2		1.0	1.0	1	5	0.16666666666666666	0.0	1.0	0.0
8	7	1/2	1/2	3/4	2	1	V(94)/III					a	i		V(94)/III		V			94	III			M	1	1	1, 0, 2	3	1.0	1.0	0	4	0.0	0.0	1.0	0.0
9	8	0	0	3/4	2	1	V/III					a	i		V/III		V				III			M	1	1	1, 5, 2		1.0	1.0	0	4	0.0	0.0	0.8125	0.0
9	8	3/16	3/16	3/4	2	1	V7/III					a	i		V7/III		V		7		III			Mm7	1	1	1, 5, 2, -1		1.0	1.0	0	3	0.0	0.0	0.1875	0.0
9	8	1/4	1/4	3/4	2	1	III}					a	i		III		III						}	M	1	1	0, 4, 1		0.0	0.0	0	4	0.0	0.0	1.0	0.0
9	8	1/2	1/2	3/4	2	1	iio6{					a	i		iio6		ii	o	6				{	o	1	1	2, -1, 5		5.0	2.0	0	4	0.0	0.0	0.75	0.0
9	8	11/16	11/16	3/4	2	1	viio7/V					a	i		viio7/V		vii	o	7		V			o7	1	1	9, 6, 3, 0		9.0	9.0	0	4	0.0	0.0	0.25	0.0
10	9	0	0	3/4	2	1	V(64)					a	i		V(64)		V			64				M	1	1	4, 3, 0		4.0	4.0	0	4	0.0	0.0	1.25	0.0
10	9	1/4	1/4	3/4	2	1	V					a	i		V		V							M	1	1	4, 8, 5		4.0	4.0	0	4	0.0	0.0	1.375	0.0
10	9	5/8	5/8	3/4	2	1	V(#94)					a	i		V(#94)		V			#94				M	1	1	4, 3, 5	6	4.0	4.0	0	3	0.0	0.0	0.375	0.0
11	10	0	0	3/4	2	1	V					a	i		V		V							M	1	1	4, 8, 5		4.0	4.0	0	4	0.0	0.0	0.75	0.0
11	10	3/16	3/16	3/4	2	1	i					a	i		i		i							m	1	1	3, 0, 4		3.0	3.0	0	4	0.0	0.0	0.25	0.0
11	10	1/4	1/4	3/4	2	1	V(6)					a	i		V(6)		V			6				M	1	1	4, 8, 0		4.0	4.0	0	4	0.0	0.0	2.0	0.0
12	11	0	0	3/4	2	1	V7					a	i		V7		V		7					Mm7	1	1	4, 8, 5, 2		4.0	4.0	0	4	0.0	0.0	0.75	0.0
12	11	3/16	3/16	3/4	2	1	i					a	i		i		i							m	1	1	3, 0, 4		3.0	3.0	0	4	0.0	0.0	0.25	0.0
12	11	1/4	1/4	3/4	2	1	V					a	i		V		V							M	1	1	4, 8, 5		4.0	4.0	1	5	0.16666666666666666	0.0	1.0	0.0
12	11	1/2	1/2	3/4	2	1	V(#94)					a	i		V(#94)		V			#94				M	1	1	4, 3, 5	6	4.0	4.0	0	4	0.0	0.0	1.0	0.0
13	12	0	0	3/4	2	1	V					a	i		V		V							M	1	1	4, 8, 5		4.0	4.0	0	4	0.0	0.0	0.8125	0.0
13	12	3/16	3/16	3/4	2	1	V7					a	i		V7		V		7					Mm7	1	1	4, 8, 5, 2		4.0	4.0	0	3	0.0	0.0	0.1875	0.0
13	12	1/4	1/4	3/4	2	1	i64					a	i		i64		i		64					m	1	1	4, 3, 0		3.0	4.0	2	5	0.2857142857142857	0.125	1.75	0.06666666666666667
13	12	5/8	5/8	3/4	2	1	i					a	i		i		i							m	1	1	3, 0, 4		3.0	3.0	0	1	0.0	0.0	0.125	0.0
14	13	0	0	3/4	2	1	V(64)/III					a	i		V(64)/III		V			64	III			M	1	1	1, 0, 4		1.0	1.0	0	4	0.0	0.0	1.0	0.0
14	13	1/4	1/4	3/4	2	1	V/III					a	i		V/III		V				III			M	1	1	1, 5, 2		1.0	1.0	0	4	0.0	0.0	1.5	0.0
