mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	crescendo_line	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
1	0	0	0	0.0	0	1/2	Tempo	3/4	1	1	0								Allegretto	116.0			1.0						
1	0	0	0	0.0	0	1/2	Tempo	3/4	1	1	0								𝅘𝅥=144	144.0	𝅘𝅥	144.0	1.0						
1	0	0	0	1.0	0	1/2	Chord	3/4	1	1	1/4		1/4	1	0									0					
2	1	1	1	0.0	0	0	Dynamic	3/4	1	1	0					p													
2	1	1	1	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	1									1					
2	1	5/2	5/2	0.0	3/8	3/8	StaffText	3/4	1	1	0							rubato						1					
2	1	5/2	5/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	2									1					
2	1	3	3	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	3									1					
2	1	7/2	7/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	4									1					
2	1	1	1	0.0	0	0	Spanner	3/4	2	1	0																	0	0
2	1	2	2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	5													0	0
2	1	3	3	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	6													0	0
2	1	1	1	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	7													0	0
3	2	4	4	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	8									1					
3	2	9/2	9/2	0.0	1/8	1/8	Spanner	3/4	1	1	0													1	0				
3	2	9/2	9/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	9									1	0				
3	2	5	5	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	10									1	0				
3	2	6	6	0.0	1/2	1/2	Spanner	3/4	1	1	0																		
3	2	6	6	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	11														
3	2	4	4	0.0	0	0	Spanner	3/4	2	1	0																		
3	2	4	4	0.0	0	0	Spanner	3/4	2	1	0																	1	1
3	2	5	5	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	12													1	1
3	2	6	6	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	13													1	1
3	2	4	4	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	14													1	1
4	3	7	7	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	15									2					
4	3	17/2	17/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	16									2					
4	3	9	9	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	17									2					
4	3	19/2	19/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	18									2					
4	3	7	7	0.0	0	0	Spanner	3/4	2	1	0																		
4	3	7	7	0.0	0	0	Spanner	3/4	2	1	0																	2	2
4	3	8	8	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	19													2	2
4	3	9	9	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	20													2	2
4	3	7	7	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	21													2	2
5	4	10	10	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	22		ornamentTrill												
5	4	43/4	43/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	23									3					
5	4	11	11	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	24									3					
5	4	12	12	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	25														
5	4	10	10	0.0	0	0	Spanner	3/4	2	1	0																		
5	4	10	10	0.0	0	0	Spanner	3/4	2	1	0																	3	3
5	4	11	11	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	26													3	3
5	4	12	12	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	27													3	3
5	4	10	10	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	28													3	3
6	5	13	13	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	29									4					
6	5	29/2	29/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	30									4					
6	5	15	15	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	31									4					
6	5	31/2	31/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	32									4					
6	5	13	13	0.0	0	0	Spanner	3/4	2	1	0																		
6	5	13	13	0.0	0	0	Spanner	3/4	2	1	0																	4	4
6	5	13	13	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	33													4	4
6	5	14	14	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	34													4	4
6	5	15	15	0.0	1/2	1/2	Spanner	3/4	2	1	0																		
7	6	16	16	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	35														
7	6	67/4	67/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	36									5					
7	6	17	17	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	37														
7	6	16	16	0.0	0	0	Spanner	3/4	2	1	0																	5	5
7	6	16	16	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	38													5	5
7	6	17	17	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	39													5	5
7	6	18	18	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	40													5	5
8	7	19	19	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	41									6					
8	7	39/2	39/2	0.0	1/8	1/8	Spanner	3/4	1	1	0													6	1				
8	7	39/2	39/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	42		ornamentTrill							6	1				
8	7	20	20	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	43									6	1				
8	7	41/2	41/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	44									6	1				
8	7	21	21	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	45									6	1				
8	7	43/2	43/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	46										1				
8	7	19	19	0.0	0	0	Spanner	3/4	2	1	0																		
8	7	19	19	0.0	0	0	Spanner	3/4	2	1	0																	6	6
8	7	19	19	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	47													6	6
8	7	20	20	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	48													6	6
8	7	21	21	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	49													6	6
9	8	22	22	0.0	0	0	Spanner	3/4	1	1	0																		
9	8	22	22	0.0	0	0	Spanner	3/4	1	1	0																0		
9	8	22	22	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	50												0		
9	8	24	24	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	51												0		
9	8	22	22	0.0	0	0	Spanner	3/4	2	1	0																		
9	8	22	22	0.0	0	0	Spanner	3/4	2	1	0																	7	7
9	8	23	23	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	52													7	7
9	8	24	24	0.0	1/2	1/2	Spanner	3/4	2	1	0																		
9	8	24	24	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	53														
9	8	22	22	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	54														
10	9	25	25	0.0	0	0	Dynamic	3/4	1	1	0					f													
10	9	25	25	0.0	0	0	Spanner	3/4	1	1	0																		
10	9	25	25	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	55									7					
10	9	53/2	53/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	56									7					
10	9	27	27	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	57									7					
10	9	55/2	55/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	58									7					
10	9	25	25	0.0	0	0	Spanner	3/4	2	1	0																	8	8
10	9	26	26	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	59													8	8
10	9	27	27	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	60													8	8
10	9	25	25	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	61													8	8
11	10	28	28	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	62									7					
11	10	57/2	57/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	63									7					
11	10	29	29	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	64									7					
11	10	30	30	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	65														
11	10	28	28	0.0	0	0	Spanner	3/4	2	1	0																		
11	10	28	28	0.0	0	0	Spanner	3/4	2	1	0																	9	9
11	10	29	29	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	66													9	9
