mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line	HairPin:2_poco riten.	decrescendo_hairpin	crescendo_hairpin	diminuendo_line	HairPin:3_rit.	pedal	Pedal_<sym>keyboardPedalPed</sym>
6	5	13	13	0.0	0	0	Dynamic	3/4	1	1	0					f																
6	5	13	13	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	37									4								
6	5	27/2	27/2	0.0	1/8	1/8	Chord	3/4	1	1	0	acciaccatura	1/8	1	38									4								
6	5	27/2	27/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	39									4								
6	5	14	14	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	40									4, 5								
6	5	29/2	29/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	41									4, 5								
6	5	15	15	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	42									4								
6	5	31/2	31/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	43									4								
6	5	14	14	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	44																	
6	5	15	15	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	45																	
6	5	14	14	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	46									6								
6	5	15	15	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	47																	
7	6	16	16	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	48									4								
7	6	16	16	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	49									4								
7	6	33/2	33/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	50									4								
7	6	17	17	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	51									7								
7	6	18	18	0.0	1/2	1/2	Spanner	3/4	1	1	0													7			0					
7	6	17	17	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	52		articStaccatoBelow										0					
7	6	18	18	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	53		articStaccatoBelow										0					
7	6	17	17	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	54																	
7	6	17	17	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	55									8								
7	6	18	18	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	56									8								
8	7	19	19	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	57									7			0					
8	7	39/2	39/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	58									7			0					
8	7	20	20	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	59									7			0					
8	7	20	20	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	60									7			0					
8	7	21	21	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	61									7			0					
8	7	43/2	43/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	62									7			0					
8	7	19	19	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	63												0					
8	7	20	20	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	64												0					
8	7	21	21	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	65												0					
8	7	19	19	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	66																	
8	7	19	19	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	67									8								
8	7	20	20	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	68									8								
8	7	21	21	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	69																	
9	8	22	22	0.0	0	0	Spanner	3/4	1	1	0																					
9	8	22	22	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	70																	
9	8	23	23	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	71									9								
9	8	24	24	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	72									9								
9	8	49/2	49/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	73																	
9	8	23	23	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	74									10								
9	8	24	24	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	75																	
10	9	25	25	0.0	0	0	Dynamic	3/4	1	1	0					p																
10	9	25	25	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	76									11								
10	9	51/2	51/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	77		ornamentShortTrill							11, 12								
10	9	26	26	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	78									11								
10	9	53/2	53/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	79									11								
10	9	27	27	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	80									11								
10	9	55/2	55/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	81									11								
10	9	25	25	1.5	0	0	Chord	3/4	1	2	3/8		1/4	3/2	82																	
10	9	26	26	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	83																	
10	9	27	27	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	84																	
10	9	26	26	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	85																	
10	9	27	27	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	86																	
11	10	28	28	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	87									11								
11	10	28	28	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	88									11								
11	10	57/2	57/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	89									11								
11	10	29	29	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	90																	
11	10	29	29	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	91		articStaccatoBelow															
11	10	30	30	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	92		articStaccatoBelow															
11	10	29	29	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	93		articStaccatoAbove															
11	10	30	30	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	94		articStaccatoAbove															
12	11	31	31	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	95									13								
12	11	63/2	63/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	96									13								
12	11	32	32	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	97									13								
12	11	32	32	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	98									13								
12	11	33	33	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	99									13								
12	11	67/2	67/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	100									13								
12	11	32	32	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	101		articStaccatoBelow															
12	11	33	33	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	102		articStaccatoBelow															
12	11	32	32	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	103		articStaccatoAbove															
12	11	33	33	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	104		articStaccatoAbove															
13	12	34	34	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	105									13								
13	12	69/2	69/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	106									13								
13	12	35	35	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	107																	
13	12	35	35	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	108		articStaccatoBelow															
13	12	36	36	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	109		articStaccatoBelow															
13	12	35	35	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	110		articStaccatoAbove															
13	12	36	36	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	111		articStaccatoAbove															
14	13	37	37	0.0	0	0	Dynamic	3/4	1	1	0					f																
14	13	37	37	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	112									14								
14	13	75/2	75/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	113		ornamentShortTrill							14, 15								
14	13	38	38	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	114									14, 16								
14	13	77/2	77/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	115									14, 16								
14	13	39	39	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	116									14								
14	13	79/2	79/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	117									14								
14	13	38	38	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	118																	
14	13	39	39	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	119																	
14	13	38	38	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	120									17								
14	13	39	39	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	121																	
15	14	40	40	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	122									14								
15	14	40	40	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	123									14								
15	14	81/2	81/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	124									14								
15	14	41	41	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	125									18								
15	14	42	42	0.0	1/2	1/2	Spanner	3/4	1	1	0													18			1					
15	14	41	41	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	126									19			1					
15	14	42	42	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	127									19			1					
15	14	41	41	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	128																	
15	14	41	41	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	129									20								
15	14	42	42	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	130									20								
16	15	43	43	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	131									18			1					
16	15	87/2	87/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	132									18			1					
16	15	44	44	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	133									18			1					
16	15	44	44	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	134									18			1					
16	15	45	45	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	135									18			1					
16	15	91/2	91/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	136									18			1					
16	15	43	43	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	137												1					
16	15	44	44	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	138												1					
16	15	45	45	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	139												1					
16	15	43	43	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	140																	
16	15	43	43	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	141									20								
16	15	44	44	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	142									20								
16	15	45	45	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	143									20								
17	16	46	46	0.0	0	0	Spanner	3/4	1	1	0													18								
17	16	46	46	0.0	0	0	Spanner	3/4	1	1	0													18				0				
17	16	46	46	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	144									18				0				
17	16	48	48	0.0	1/2	1/2	Dynamic	3/4	1	1	0					mf																
17	16	48	48	0.0	1/2	1/2	Spanner	3/4	1	1	0																					
17	16	48	48	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	145																	
17	16	195/4	195/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	146																	
17	16	47	47	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	147																	
17	16	48	48	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	148									21								
17	16	46	46	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	149																	
17	16	47	47	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	150																	
17	16	48	48	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	151		articMarcatoAbove							22								
18	17	49	49	0.0	0	0	StaffText	3/4	1	1	0							con anima														
18	17	49	49	0.0	0	0	Spanner	3/4	1	1	0																	1				
18	17	49	49	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	152									23				1				
18	17	99/2	99/2	2.0	1/8	1/8	Chord	3/4	1	1	1/2		1/2	1	153		articMarcatoAbove							23				1				
18	17	50	50	0.0	1/4	1/4	Spanner	3/4	1	1	0													23								
18	17	103/2	103/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	154									23								
18	17	49	49	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	155									21								
18	17	50	50	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	156																	
18	17	49	49	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	157									22								
18	17	50	50	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	158																	
18	17	51	51	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	159																	
18	17	49	49	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	160																	
19	18	52	52	0.0	0	0	Spanner	3/4	1	1	0													23				2				
19	18	52	52	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	161									23				2				
19	18	211/4	211/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	162									23				2				
19	18	53	53	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	163									23				2				
19	18	109/2	109/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	164													2				
19	18	52	52	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	165													2				
19	18	52	52	0.0	0	0	Spanner	3/4	2	1	0																				0	0
19	18	52	52	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	166																0	0
19	18	53	53	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	167																0	0
19	18	54	54	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	168																0	0
20	19	55	55	0.0	0	0	Dynamic	3/4	1	1	0					f																
20	19	55	55	0.0	0	0	Spanner	3/4	1	1	0																					
20	19	55	55	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	169									24								
20	19	111/2	111/2	2.0	1/8	1/8	Chord	3/4	1	1	1/2		1/2	1	170		articAccentAbove							24								
20	19	115/2	115/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	171									24								
20	19	55	55	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	172																	
20	19	56	56	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	173																	
20	19	57	57	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	174																	
20	19	55	55	0.0	0	0	Spanner	3/4	2	1	0																					
20	19	55	55	0.0	0	0	Spanner	3/4	2	1	0																				1	1
20	19	55	55	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	175																1	1
20	19	56	56	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	176																1	1
20	19	57	57	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	177																1	1
21	20	58	58	0.0	0	0	Spanner	3/4	1	1	0													24				3				
21	20	58	58	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	178									24				3				
21	20	235/4	235/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	179									24				3				
21	20	59	59	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	180									24				3				
21	20	59	59	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	181									24				3				
21	20	121/2	121/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	182									24				3				
21	20	58	58	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	183													3				
21	20	58	58	0.0	0	0	Spanner	3/4	2	1	0																					
21	20	58	58	0.0	0	0	Spanner	3/4	2	1	0																				2	2
21	20	58	58	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	184																2	2
21	20	59	59	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	185																2	2
21	20	60	60	0.0	1/2	1/2	Spanner	3/4	2	1	0																					
21	20	60	60	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	186																	
21	20	59	59	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	187									25								
21	20	60	60	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	188									25								
22	21	61	61	0.0	0	0	Spanner	3/4	1	1	0																					
22	21	61	61	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	189									26								
22	21	247/4	247/4	0.0	3/16	3/16	Spanner	3/4	1	1	0													26			2					
22	21	247/4	247/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	190									26			2					
22	21	62	62	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	191									26			2					
22	21	63	63	0.0	1/2	1/2	Chord	3/4	1	1	0	acciaccatura	1/8	1	192									26			2					
22	21	63	63	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	193									26			2					
22	21	61	61	0.0	0	0	StaffText	3/4	2	1	0							legato														
22	21	61	61	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	194																	
22	21	62	62	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	195																	
22	21	63	63	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	196																	
22	21	61	61	0.75	0	0	Chord	3/4	2	2	3/16		1/8	3/2	197									25								
22	21	247/4	247/4	0.25	3/16	3/16	Chord	3/4	2	2	1/16		1/16	1	198									25								
22	21	62	62	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	199																	
23	22	64	64	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	200									26			2					
23	22	259/4	259/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	201									26			2					
23	22	65	65	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	202												2					
23	22	64	64	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	203												2					
23	22	65	65	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	204												2					
23	22	64	64	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	205																	
23	22	65	65	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	206																	
24	23	67	67	0.0	0	0	Dynamic	3/4	1	1	0					p																
24	23	67	67	0.0	0	0	Spanner	3/4	1	1	0																					
24	23	67	67	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	207									27								
24	23	135/2	135/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	208									27								
24	23	68	68	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	209									27								
24	23	69	69	0.0	1/2	1/2	Chord	3/4	1	1	0	acciaccatura	1/8	1	210									27								
24	23	69	69	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	211									27								
24	23	67	67	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	212																	
24	23	68	68	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	213																	
24	23	67	67	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	214																	
24	23	68	68	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	215																	
24	23	69	69	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	216																	
24	23	68	68	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	217																	
24	23	69	69	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	218																	
25	24	70	70	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	219									27								
25	24	141/2	141/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	220									27								
25	24	71	71	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	221									27								
25	24	72	72	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	222		articAccentAbove															
25	24	291/4	291/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	223																	
25	24	72	72	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	224									28								
25	24	70	70	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	225																	
25	24	72	72	0.0	1/2	1/2	Spanner	3/4	2	1	0																				3	3
25	24	72	72	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	226									29							3	3
25	24	70	70	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	227																3	3
25	24	72	72	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	228									30							3	3
26	25	73	73	0.0	0	0	Spanner	3/4	1	1	0																	4				
26	25	73	73	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	229									31				4				
26	25	147/2	147/2	2.0	1/8	1/8	Chord	3/4	1	1	1/2		1/2	1	230		articMarcatoAbove							31				4				
26	25	74	74	0.0	1/4	1/4	Spanner	3/4	1	1	0													31								
26	25	151/2	151/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	231									31								
26	25	73	73	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	232									28								
26	25	74	74	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	233																	
26	25	73	73	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	234									29							3	3
26	25	74	74	0.0	1/4	1/4	Spanner	3/4	2	1	0																					
26	25	74	74	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	235																	
26	25	75	75	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	236																	
26	25	73	73	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	237		articStaccatoBelow															
27	26	76	76	0.0	0	0	Spanner	3/4	1	1	0													31				5				
27	26	76	76	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	238									31				5				
27	26	307/4	307/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	239									31				5				
27	26	77	77	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	240									31				5				
27	26	157/2	157/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	241													5				
27	26	76	76	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	242													5				
27	26	76	76	0.0	0	0	Spanner	3/4	2	1	0																				4	4
27	26	76	76	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	243																4	4
27	26	77	77	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	244																4	4
27	26	78	78	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	245																4	4
28	27	79	79	0.0	0	0	Dynamic	3/4	1	1	0					mf																
28	27	79	79	0.0	0	0	Spanner	3/4	1	1	0																					
28	27	79	79	0.0	0	0	Spanner	3/4	1	1	0														0							
28	27	79	79	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	246									32	0							
28	27	159/2	159/2	2.0	1/8	1/8	Chord	3/4	1	1	1/2		1/2	1	247		articMarcatoAbove							32	0							
28	27	163/2	163/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	248									32	0							
