mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	crescendo_line	diminuendo_line	decrescendo_hairpin	pedal
1	0	0	0	0.0		0	1/2	Tempo	3/4	1	1	0								Moderatoanimato	114.0			1.0						
1	0	0	0	0.0		0	1/2	Tempo	3/4	1	1	0								𝅘𝅥=138	138.0	𝅘𝅥	138.0	1.0						
1	0	0	0	1.0		0	1/2	Chord	3/4	1	1	1/4		1/4	1	0		articAccentAbove												
2	1	1	1	0.0		0	0	Dynamic	3/4	1	1	0					mf													
2	1	1	1	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	1									0					
2	1	5/2	5/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	2									0, 1					
2	1	3	3	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	3		ornamentShortTrill							0, 1					
2	1	7/2	7/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	4									0					
2	1	1	1	0.0		0	0	Spanner	3/4	2	1	0																		0
2	1	1	1	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	5														0
2	1	2	2	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	6														0
2	1	3	3	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	7														0
3	2	4	4	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	8									0					
3	2	9/2	9/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	9									0					
3	2	5	5	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	10									0					
3	2	6	6	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	11														
3	2	4	4	0.0		0	0	Spanner	3/4	2	1	0																		
3	2	5	5	0.0		1/4	1/4	Spanner	3/4	2	1	0																		1
3	2	5	5	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	12														1
3	2	6	6	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	13														1
4	3	7	7	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	14									2					
4	3	17/2	17/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	15									2, 3					
4	3	9	9	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	16		ornamentShortTrill							2, 3					
4	3	19/2	19/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	17									2					
4	3	7	7	0.0		0	0	Spanner	3/4	2	1	0																		
4	3	7	7	0.0		0	0	Spanner	3/4	2	1	0																		2
4	3	7	7	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	18														2
4	3	8	8	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	19														2
4	3	9	9	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	20														2
5	4	10	10	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	21									2					
5	4	21/2	21/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	22									2					
5	4	11	11	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	23									2					
5	4	12	12	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	24									2					
5	4	10	10	0.0		0	0	Spanner	3/4	2	1	0																		
5	4	11	11	0.0		1/4	1/4	Spanner	3/4	2	1	0																		3
5	4	11	11	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	25														3
5	4	12	12	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	26														3
6	5	13	13	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	27														
6	5	29/2	29/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	28									4					
6	5	15	15	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	29									4					
6	5	31/2	31/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	30									4					
6	5	13	13	0.0		0	0	Spanner	3/4	2	1	0																		
6	5	13	13	0.0		0	0	Spanner	3/4	2	1	0																		4
6	5	13	13	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	31														4
6	5	14	14	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	32														4
7	6	16	16	0.0		0	0	Spanner	3/4	1	1	0													4				0	
7	6	16	16	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	33									4				0	
7	6	33/2	33/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	34									4				0	
7	6	17	17	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	35									4				0	
7	6	18	18	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	36									4				0	
7	6	37/2	37/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	37													0	
7	6	16	16	0.0		0	0	Spanner	3/4	2	1	0																		
8	7	19	19	0.0		0	0	StaffText	3/4	1	1	0							riten.											
8	7	19	19	0.0		0	0	StaffText	3/4	1	1	0							marcato											
8	7	19	19	0.0		0	0	Spanner	3/4	1	1	0																		
8	7	19	19	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	38									5					
8	7	39/2	39/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	39									5					
8	7	20	20	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	40									5					
8	7	21	21	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	41									5					
8	7	19	19	0.0		0	0	Spanner	3/4	2	1	0																		5
8	7	19	19	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	42														5
8	7	20	20	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	43														5
8	7	21	21	0.0		1/2	1/2	Spanner	3/4	2	1	0																		
8	7	21	21	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	44														
9	8	22	22	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	45														
9	8	24	24	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	46														
9	8	22	22	0.0		0	0	Spanner	3/4	2	1	0																		6
9	8	22	22	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	47														6
9	8	23	23	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	48														6
10	9	25	25	0.0		0	0	StaffText	3/4	1	1	0							a tempo											
10	9	25	25	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	49									6					
10	9	26	26	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	50									6					
10	9	53/2	53/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	51									6					
10	9	27	27	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	52									6					
10	9	55/2	55/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	53									6					
10	9	25	25	0.0		0	0	Spanner	3/4	2	1	0																		
10	9	25	25	0.0		0	0	Spanner	3/4	2	1	0																		7
10	9	25	25	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	54														7
10	9	26	26	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	55														7
10	9	27	27	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	56														7
11	10	28	28	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	57									6					
11	10	57/2	57/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	58									6					
11	10	29	29	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	59									6					
11	10	30	30	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	60														
11	10	28	28	0.0		0	0	Spanner	3/4	2	1	0																		
11	10	29	29	0.0		1/4	1/4	Spanner	3/4	2	1	0																		8
11	10	29	29	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	61														8
11	10	30	30	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	62														8
12	11	31	31	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	63									7					
12	11	65/2	65/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	64									7					
12	11	33	33	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	65									7					
12	11	67/2	67/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	66									7					
12	11	31	31	0.0		0	0	Spanner	3/4	2	1	0																		
12	11	31	31	0.0		0	0	Spanner	3/4	2	1	0																		9
12	11	31	31	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	67														9
12	11	32	32	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	68														9
12	11	33	33	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	69														9
13	12	34	34	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	70									7					
13	12	69/2	69/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	71									7					
13	12	35	35	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	72									7					
13	12	36	36	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	73														
13	12	34	34	0.0		0	0	Spanner	3/4	2	1	0																		
13	12	35	35	0.0		1/4	1/4	Spanner	3/4	2	1	0																		10
13	12	35	35	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	74														10
13	12	36	36	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	75														10
14	13	37	37	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	76														
14	13	77/2	77/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	77									8					
14	13	39	39	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	78									8					
14	13	79/2	79/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	79														
14	13	37	37	0.0		0	0	Spanner	3/4	2	1	0																		
14	13	37	37	0.0		0	0	Spanner	3/4	2	1	0																		11
14	13	37	37	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	80														11
14	13	38	38	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	81														11
15	14	40	40	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	82									9					
