mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
1	1	0	0	0.0	0	0	Dynamic	3/4	1	1	0					pp												
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0								Lento,manontroppo	114.0			1.0					
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0								𝅘𝅥=152	152.0	𝅘𝅥	152.0	1.0					
1	1	1	1	0.0	1/4	1/4	StaffText	3/4	2	1	0							sotto voce										
1	1	1	1	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	0									0				
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	1									0				
2	2	3	3	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	2									0				
2	2	4	4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	3									0				
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	4									0				
3	3	6	6	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	5									0				
3	3	7	7	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	6									0				
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	7													
4	4	9	9	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	8									1				
4	4	28/3	28/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	9									1				
4	4	29/3	29/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	10													
4	4	10	10	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	11													
5	5	12	12	0.0	0	0	StaffText	3/4	1	1	0							espressivo										
5	5	12	12	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	12									2				
5	5	51/4	51/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	13									2				
5	5	13	13	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	14									2				
5	5	14	14	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	15									2				
5	5	12	12	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	16													
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	17													
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	18													
6	6	15	15	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	19													
6	6	15	15	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	20													
6	6	17	17	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	21									3				
6	6	35/2	35/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	22									3				
6	6	15	15	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	23													
6	6	16	16	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	24													
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	25													
7	7	18	18	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	26									3				
7	7	37/2	37/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	27									3				
7	7	19	19	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	28									3				
7	7	20	20	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	29													
7	7	83/4	83/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	30									4				
7	7	18	18	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	31													
7	7	19	19	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	32													
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	33													
8	8	21	21	0.0	0	0	StaffText	3/4	1	1	0							ten.										
8	8	21	21	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	34		articAccentAbove											
8	8	21	21	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	35													
8	8	22	22	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	36													
8	8	23	23	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	37													
9	9	24	24	0.0	0	0	Dynamic	3/4	1	1	0					p												
9	9	24	24	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	38									5				
9	9	25	25	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	39													
9	9	24	24	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	40													
9	9	25	25	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	41													
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	42													
10	10	27	27	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	43									6				
10	10	28	28	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	44													
10	10	27	27	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	45													
10	10	28	28	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	46													
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	47													
11	11	30	30	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	48									7				
11	11	121/4	121/4	0.0	1/16	1/16	Spanner	3/4	1	1	0															0		
11	11	121/4	121/4	0.75	1/16	1/16	Chord	3/4	1	1	3/16		1/8	3/2	49											0		
11	11	31	31	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	50											0		
11	11	30	30	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	51													
11	11	31	31	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	52													
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	53													
12	12	33	33	0.0	0	0	Spanner	3/4	1	1	0																	
12	12	33	33	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	54													
12	12	133/4	133/4	0.0	1/16	1/16	Spanner	3/4	1	1	0															1		
12	12	133/4	133/4	0.75	1/16	1/16	Chord	3/4	1	1	3/16		1/8	3/2	55											1		
12	12	34	34	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	56											1		
12	12	33	33	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	57													
12	12	34	34	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	58													
12	12	35	35	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	59													
13	13	36	36	0.0	0	0	Spanner	3/4	1	1	0																	
13	13	36	36	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	60									8				
13	13	109/3	109/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	61									8				
13	13	110/3	110/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	62									8				
13	13	37	37	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	63									8				
13	13	112/3	112/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	64									8				
13	13	113/3	113/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	65									8				
13	13	38	38	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	66									8				
13	13	77/2	77/2	0.16666666666666666	5/8	5/8	Chord	3/4	1	1	1/24		1/16	2/3	67									8				
13	13	116/3	116/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	68													
13	13	36	36	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	69													
13	13	37	37	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	70													
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	71													
14	14	39	39	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	72									9				
14	14	39	39	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	73		articAccentAbove							9				
14	14	41	41	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	74									9				
14	14	83/2	83/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	75									9				
14	14	39	39	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	76													
14	14	40	40	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	77													
14	14	41	41	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	78													
15	15	42	42	0.0	0	0	StaffText	3/4	1	1	0							delicatiss.						9				
15	15	42	42	0.2	0	0	Chord	3/4	1	1	1/20		1/16	4/5	79									9				
15	15	211/5	211/5	0.2	1/20	1/20	Chord	3/4	1	1	1/20		1/16	4/5	80									9				
15	15	212/5	212/5	0.2	1/10	1/10	Chord	3/4	1	1	1/20		1/16	4/5	81									9				
15	15	213/5	213/5	0.2	3/20	3/20	Chord	3/4	1	1	1/20		1/16	4/5	82									9				
15	15	214/5	214/5	0.2	1/5	1/5	Chord	3/4	1	1	1/20		1/16	4/5	83									9				
15	15	43	43	0.2	1/4	1/4	Chord	3/4	1	1	1/20		1/16	4/5	84									9				
15	15	216/5	216/5	0.2	3/10	3/10	Chord	3/4	1	1	1/20		1/16	4/5	85									9				
15	15	217/5	217/5	0.2	7/20	7/20	Chord	3/4	1	1	1/20		1/16	4/5	86									9				
15	15	218/5	218/5	0.2	2/5	2/5	Chord	3/4	1	1	1/20		1/16	4/5	87									9				
15	15	219/5	219/5	0.2	9/20	9/20	Chord	3/4	1	1	1/20		1/16	4/5	88									9				
15	15	44	44	0.2	1/2	1/2	Chord	3/4	1	1	1/20		1/16	4/5	89									9				
15	15	221/5	221/5	0.2	11/20	11/20	Chord	3/4	1	1	1/20		1/16	4/5	90									9				
15	15	222/5	222/5	0.2	3/5	3/5	Chord	3/4	1	1	1/20		1/16	4/5	91									9				
15	15	223/5	223/5	0.2	13/20	13/20	Chord	3/4	1	1	1/20		1/16	4/5	92									9				
15	15	224/5	224/5	0.2	7/10	7/10	Chord	3/4	1	1	1/20		1/16	4/5	93									9				
15	15	42	42	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	94													
15	15	43	43	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	95													
