mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0									Vivace	172.0	1.0					
1	1	0	0	0.0	0	0	Dynamic	3/4	1	1	0						f										
1	1	0	0	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	0			articStaccatoBelow									
1	1	1	1	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	1								0				
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	2								0				
1	1	2	2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	3								0				
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	4								0				
1	1	1	1	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	5								1				
1	1	0	0	0.0	0	0	Spanner	3/4	2	1	0															0	0
1	1	0	0	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	6											0	0
1	1	1	1	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	7								2			0	0
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	8								2			0	0
1	1	2	2	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	9								2			0	0
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	10											0	0
1	1	1	1	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	11											0	0
2	2	3	3	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	12												
2	2	15/4	15/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	13								3				
2	2	4	4	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	14			articAccentBelow					3				
2	2	3	3	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	15												
2	2	3	3	0.0	0	0	Spanner	3/4	2	1	0																
2	2	4	4	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	16			articAccentAbove									
2	2	3	3	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	17												
3	3	6	6	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	18												
3	3	27/4	27/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	19								4				
3	3	7	7	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	20								4				
3	3	8	8	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	21								4				
3	3	6	6	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	22												
3	3	27/4	27/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	23												
3	3	7	7	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	24												
3	3	6	6	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	25												
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	26												
4	4	9	9	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	27								4				
4	4	10	10	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	28			articAccentBelow					4				
4	4	9	9	0.0	0	0	Spanner	3/4	2	1	0															1	1
4	4	9	9	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	29											1	1
4	4	10	10	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	30			articAccentAbove								1	1
5	5	12	12	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	31			articStaccatoBelow									
5	5	13	13	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	32								5				
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	33								5				
5	5	14	14	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	34								5				
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	35								5				
5	5	13	13	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	36												
5	5	12	12	0.0	0	0	Spanner	3/4	2	1	0																
5	5	12	12	0.0	0	0	Spanner	3/4	2	1	0															2	2
5	5	12	12	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	37			articStaccatoBelow								2	2
5	5	13	13	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	38								6			2	2
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	39								6			2	2
5	5	14	14	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	40								6			2	2
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	41											2	2
5	5	13	13	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	42											2	2
6	6	15	15	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	43												
6	6	63/4	63/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	44								7				
6	6	16	16	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	45								7				
6	6	15	15	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	46												
6	6	16	16	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	47												
6	6	15	15	0.0	0	0	Spanner	3/4	2	1	0																
6	6	16	16	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	48			articAccentAbove									
6	6	15	15	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	49												
7	7	18	18	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	50												
7	7	75/4	75/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	51								8				
7	7	19	19	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	52								8				
7	7	20	20	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	53								8				
7	7	18	18	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	54												
7	7	75/4	75/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	55												
7	7	19	19	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	56												
7	7	18	18	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	57												
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	58												
8	8	21	21	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	59								8				
8	8	22	22	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	60								8				
8	8	21	21	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	61												
8	8	21	21	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	62												
8	8	22	22	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	63												
8	8	23	23	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	64												
9	9	24	24	0.0	0	0	Dynamic	3/4	1	1	0						fz										
9	9	24	24	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	65												
9	9	25	25	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	66								9				
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	67								9				
9	9	26	26	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	68								9				
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	69								9				
9	9	25	25	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	70												
9	9	24	24	0.0	0	0	Spanner	3/4	2	1	0															3	3
9	9	24	24	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	71											3	3
9	9	25	25	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	72											3	3
9	9	25	25	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	73								10			3	3
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	74								10			3	3
9	9	26	26	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	75								10			3	3
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	76											3	3
10	10	27	27	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	77												
10	10	111/4	111/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	78								11				
10	10	28	28	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	79			articAccentBelow					11				
10	10	27	27	0.0	0	0	Spanner	3/4	2	1	0																
10	10	28	28	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	80												
10	10	27	27	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	81												
11	11	30	30	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	82												
11	11	123/4	123/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	83								12				
11	11	31	31	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	84								12				
11	11	32	32	0.0	1/2	1/2	Spanner	3/4	1	1	0												12		0		
11	11	32	32	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	85								12		0		
11	11	30	30	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	86												
11	11	123/4	123/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	87												
11	11	31	31	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	88												
11	11	32	32	0.0	1/2	1/2	Spanner	3/4	2	1	0															4	4
11	11	30	30	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	89											4	4
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	90											4	4
12	12	33	33	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	91								12		0		
12	12	35	35	0.0	1/2	1/2	Spanner	3/4	1	1	0												12				
12	12	35	35	0.0	1/2	1/2	Spanner	3/4	1	1	0												12	0			
