mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	diminuendo_line	decrescendo_hairpin	crescendo_hairpin	Ottava:8va
1	0	0	0	1.0	0	1/2	Chord	3/4	1	1	1/4		1/4	1	0		articAccentBelow		0						
2	1	1	1	0.0	0	0	Dynamic	3/4	1	1	0					p			0						
2	1	1	1	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	1				0						
2	1	3/2	3/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	2				0						
2	1	2	2	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	3		ornamentShortTrill		0						
2	1	3	3	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	4				0						
2	1	7/2	7/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	5				0						
2	1	1	1	0.0	0	0	Spanner	3/4	2	1	0									0	0				
2	1	1	1	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	6					0	0				
2	1	2	2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	7					0	0				
2	1	3	3	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	8					0	0				
3	2	4	4	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	9										
3	2	4	4	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	10										
3	2	4	4	0.0	0	0	Spanner	3/4	2	1	0														
3	2	4	4	0.0	0	0	Spanner	3/4	2	1	0									1	1				
3	2	4	4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	11					1	1				
3	2	5	5	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	12					1	1				
3	2	6	6	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	13					1	1				
4	3	7	7	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	14				1						
4	3	15/2	15/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	15				1						
4	3	8	8	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	16		ornamentShortTrill		1						
4	3	9	9	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	17				1						
