mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	crescendo_line	decrescendo_hairpin	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>
1	1	0	0	0.0	0	0	Dynamic	3/4	1	1	0					pp														
1	1	0	0	0.0	0	0	StaffText	3/4	1	1	0							sotto voce												
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0								𝅗𝅥.=54	162.0	𝅗𝅥.	54.0	1.0							
1	1	0	0	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	0									0						
1	1	0	0	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	1															
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	2															
1	1	1	1	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	3															
2	2	3	3	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	4									0						
2	2	4	4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	5									0						
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	6									0						
2	2	3	3	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	7															
3	3	6	6	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	8									0						
3	3	6	6	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	9									1						
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	10									1						
3	3	7	7	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	11															
4	4	9	9	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	12									0						
4	4	10	10	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	13									0						
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	14															
4	4	9	9	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	15															
5	5	12	12	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	16															
5	5	12	12	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	17									2						
5	5	25/2	25/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	18									2						
5	5	13	13	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	19															
6	6	15	15	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	20															
6	6	15	15	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	21															
6	6	16	16	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	22									3						
6	6	33/2	33/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	23									3						
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	24															
7	7	18	18	0.0	0	0	StaffText	3/4	1	1	0							smorz.												
7	7	18	18	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	25															
7	7	18	18	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	26									4						
7	7	37/2	37/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	27									4						
7	7	19	19	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	28															
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	29															
8	8	21	21	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	30															
8	8	21	21	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	31		articStaccatoBelow													
8	8	43/2	43/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	32		articStaccatoBelow													
8	8	22	22	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	33		articStaccatoBelow													
8	8	45/2	45/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	34		articStaccatoBelow													
8	8	23	23	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	35		articStaccatoBelow													
8	8	47/2	47/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	36		articStaccatoBelow													
9	9	24	24	0.0	0	0	Dynamic	3/4	1	1	0					p														
9	9	24	24	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	37		articStaccatissimoBelow													
9	9	99/4	99/4	0.0	3/16	3/16	StaffText	3/4	1	1	0							con anima												
9	9	99/4	99/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	38									5						
9	9	25	25	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	39									5						
