mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	diminuendo_line	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>	Ottava:8va
1	0	0	0	0.0	0	1/2	Dynamic	3/4	1	1	0					f														
1	0	0	0	0.0	0	1/2	Tempo	3/4	1	1	0								Vivoerisoluto	144.0			1.0							
1	0	0	0	0.0	0	1/2	Tempo	3/4	1	1	0								𝅘𝅥=160	160.0	𝅘𝅥	160.0	1.0							
1	0	0	0	1.0	0	1/2	Chord	3/4	1	1	1/4		1/4	1	0									0						
2	1	1	1	0.0	0	0	Dynamic	3/4	1	1	0					fz								0						
2	1	1	1	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	1									0						
2	1	5/2	5/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	2									0						
2	1	3	3	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	1	3									0						
2	1	3	3	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	1	4									0						
2	1	3	3	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	5									0						
2	1	7/2	7/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	6									0						
2	1	1	1	0.0	0	0	Spanner	3/4	2	1	0																	0	0	
2	1	1	1	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	7													0	0	
2	1	2	2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	8													0	0	
2	1	3	3	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	9													0	0	
3	2	4	4	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	10		articStaccatissimoAbove													
3	2	19/4	19/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	11									1						
3	2	5	5	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	12									1						
3	2	6	6	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	13															
3	2	4	4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	14													0	0	
3	2	5	5	0.0	1/4	1/4	Spanner	3/4	2	1	0																			
3	2	5	5	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	15															
3	2	6	6	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	16															
4	3	7	7	0.0	0	0	Spanner	3/4	1	1	0															0				
4	3	7	7	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	17									2		0				
4	3	17/2	17/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	18									2		0				
4	3	9	9	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	19									2		0				
4	3	19/2	19/2	0.0	5/8	5/8	Spanner	3/4	1	1	0													2						
4	3	19/2	19/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	20									2						
4	3	7	7	0.0	0	0	Spanner	3/4	2	1	0																	1	1	
4	3	7	7	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	21													1	1	
4	3	8	8	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	22													1	1	
5	4	10	10	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	23		articStaccatissimoBelow													
5	4	43/4	43/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	24									3						
5	4	11	11	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	25															
5	4	12	12	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	26															
5	4	10	10	0.0	0	0	Spanner	3/4	2	1	0																			
5	4	10	10	0.0	0	0	Spanner	3/4	2	1	0																	2	2	
5	4	10	10	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	27													2	2	
5	4	11	11	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	28													2	2	
5	4	12	12	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	29		articAccentAbove											2	2	
6	5	13	13	0.0	0	0	Dynamic	3/4	1	1	0					fz														
6	5	13	13	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	30															
6	5	55/4	55/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	31															
6	5	14	14	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	32		articStaccatoAbove													
6	5	15	15	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	1	33									4						
6	5	15	15	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	1	34									4						
6	5	15	15	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	35									4						
6	5	31/2	31/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	36									4						
6	5	13	13	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	37													2	2	
6	5	14	14	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	38													2	2	
6	5	15	15	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	39													2	2	
7	6	16	16	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	40															
7	6	67/4	67/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	41									5						
7	6	17	17	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	42		articStaccatissimoAbove													
7	6	18	18	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	43		articAccentBelow													
7	6	16	16	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	44		articStaccatissimoBelow											2	2	
7	6	17	17	0.0	1/4	1/4	Spanner	3/4	2	1	0																			
7	6	17	17	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	45															
7	6	18	18	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	46															
8	7	19	19	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	47									6						
8	7	41/2	41/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	48									6						
8	7	21	21	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	49									6						
8	7	43/2	43/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	50									6						
8	7	19	19	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	51		articAccentBelow													
8	7	20	20	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	52															
8	7	41/2	41/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	53															
8	7	21	21	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	54															
8	7	43/2	43/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	55															
8	7	19	19	0.0	0	0	Spanner	3/4	2	1	0																	3	3	
8	7	19	19	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	56													3	3	
8	7	20	20	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	57													3	3	
9	8	22	22	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	58															
9	8	91/4	91/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	59									7						
9	8	23	23	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	60		articStaccatoBelow							7						
9	8	24	24	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	61		articStaccatoBelow													
9	8	22	22	0.0	0	0	Spanner	3/4	2	1	0																			
9	8	22	22	0.0	0	0	Spanner	3/4	2	1	0																	4	4	
9	8	22	22	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	62													4	4	
9	8	23	23	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	63													4	4	
9	8	24	24	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	64													4	4	
10	9	25	25	0.0	0	0	Dynamic	3/4	1	1	0					fz														
10	9	25	25	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	65		articStaccatissimoBelow													
10	9	26	26	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	66		articAccentAbove													
