mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line	diminuendo_line	HairPin:3_decresc.	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0									"𝅗𝅥.=60
"	180.0	𝅗𝅥.	60.0	1.0								
1	1	0	0	0.0	0	0	SystemText	3/4	1	1	0								"<font size=""12""/>Vivace"													
1	1	0	0	0.0	0	0	Dynamic	3/4	1	1	0					p																
1	1	0	0	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	0		articStaccatoAbove															
1	1	1	1	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	1		articStaccatoAbove															
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	2		articAccentAbove															
2	2	3	3	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	3		articStaccatoAbove															
2	2	4	4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	4		articStaccatoAbove															
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	5		articAccentAbove															
3	3	6	6	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	6		articStaccatoAbove															
3	3	7	7	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	7		articAccentAbove															
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	8		articStaccatoAbove															
4	4	9	9	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	9		articAccentAbove															
4	4	10	10	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	10		articStaccatoAbove															
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	11		articAccentAbove															
5	5	12	12	0.0	0	0	Dynamic	3/4	1	1	0					p																
5	5	12	12	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	12		articStaccatoBelow								0							
5	5	25/2	25/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	13		articStaccatoBelow								0							
5	5	13	13	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	14		articStaccatoBelow								0							
5	5	14	14	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	15		articStaccatoBelow															
5	5	12	12	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	16		articStaccatoAbove															
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	17		articStaccatoAbove															
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	18		articAccentAbove															
6	6	15	15	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	19																	
6	6	15	15	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	20																	
6	6	15	15	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	21		articAccentBelow															
6	6	15	15	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	22		articStaccatoAbove															
6	6	16	16	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	23		articStaccatoAbove															
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	24		articAccentAbove															
7	7	18	18	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	25		articStaccatissimoBelow															
7	7	75/4	75/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	26		articStaccatoBelow								1							
7	7	19	19	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	27		articStaccatoBelow								1							
7	7	20	20	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	28		articStaccatoBelow															
7	7	18	18	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	29		articStaccatoAbove															
7	7	19	19	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	30		articStaccatoAbove															
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	31		articAccentAbove															
8	8	21	21	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	32																	
8	8	21	21	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	33																	
8	8	21	21	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	34		articAccentBelow															
8	8	23	23	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	35		articAccentBelow															
8	8	21	21	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	36		articStaccatoAbove															
8	8	22	22	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	37		articStaccatoAbove															
9	9	24	24	0.0	0	0	Dynamic	3/4	1	1	0					f																
9	9	24	24	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	38		articStaccatissimoBelow															
9	9	99/4	99/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	39										2							
9	9	25	25	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	40																	
9	9	26	26	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	41		articAccentBelow															
9	9	24	24	0.0	0	0	Spanner	3/4	2	1	0																				0	0
9	9	24	24	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	42																0	0
9	9	25	25	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	43																0	0
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	44		articAccentAbove														0	0
10	10	27	27	0.0	0	0	Spanner	3/4	1	1	0															0						
10	10	27	27	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	45		articStaccatissimoBelow									0						
10	10	55/2	55/2	0.0	1/8	1/8	Spanner	3/4	1	1	0																					
10	10	111/4	111/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	46										3							
10	10	28	28	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	47																	
10	10	29	29	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	48		articAccentAbove															
10	10	27	27	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	49																0	0
10	10	28	28	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	50																0	0
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	51		articAccentAbove														0	0
11	11	30	30	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	52										4							
11	11	91/3	91/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	53										4							
11	11	92/3	92/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	54																	
11	11	31	31	0.0	1/4	1/4	Spanner	3/4	1	1	0																			0		
11	11	31	31	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	55		articStaccatissimoAbove													0		
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	56										5					0		
11	11	32	32	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	57										5					0		
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	58										5					0		
11	11	30	30	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	59															0		
11	11	30	30	0.0	0	0	Spanner	3/4	2	1	0																					
11	11	30	30	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	60		articStaccatoAbove								6							
11	11	31	31	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	61		articStaccatoAbove								6							
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	62		articStaccatoAbove								6							
12	12	33	33	0.0	0	0	Spanner	3/4	1	1	0																					
12	12	33	33	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	63		articStaccatoAbove															
12	12	135/4	135/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	64										7							
12	12	34	34	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	65		articAccentAbove															
12	12	33	33	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	66		articStaccatoAbove								6							
12	12	34	34	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	67		articStaccatoAbove								6							
12	12	35	35	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	68		articStaccatoAbove															
13	13	36	36	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	69										8							
13	13	109/3	109/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	70										8							
13	13	110/3	110/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	71																	
13	13	37	37	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	72		articStaccatissimoAbove															
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	73										9							
13	13	38	38	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	74										9							
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	75										9							
13	13	36	36	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	76																	
13	13	36	36	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	77		articStaccatoAbove								10							
13	13	37	37	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	78		articStaccatoAbove								10							
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	79		articStaccatoAbove								10							
14	14	39	39	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	80		articStaccatissimoAbove															
14	14	159/4	159/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	81										11							
14	14	40	40	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	82		articAccentAbove															
14	14	39	39	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	83		articStaccatoAbove								10							
14	14	40	40	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	84		articStaccatoAbove															
14	14	41	41	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	85																	
15	15	42	42	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	86		articStaccatissimoAbove															
15	15	171/4	171/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	87										12							
15	15	43	43	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	88		articAccentBelow								13							
15	15	42	42	0.0	0	0	Spanner	3/4	2	1	0																				1	1
15	15	42	42	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	89																1	1
15	15	43	43	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	90		articStaccatoAbove														1	1
15	15	44	44	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	91		articStaccatoAbove														1	1
16	16	45	45	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	92		articStaccatissimoAbove															
16	16	183/4	183/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	93										14							
16	16	46	46	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	94																	
16	16	183/4	183/4	2.0	3/16	3/16	Chord	3/4	1	2	1/2		1/2	1	95		articAccentAbove															
16	16	45	45	0.0	0	0	Spanner	3/4	2	1	0																					
16	16	45	45	0.0	0	0	Spanner	3/4	2	1	0																				2	2
16	16	45	45	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	96																2	2
16	16	46	46	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	97																2	2
16	16	47	47	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	98																2	2
17	17	48	48	0.0	0	0	Dynamic	3/4	1	1	0					p																
17	17	48	48	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	99		articStaccatoBelow								15							
17	17	97/2	97/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	100		articStaccatoBelow								15							
17	17	49	49	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	101		articStaccatoBelow								15							
17	17	50	50	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	102		articStaccatoBelow															
17	17	48	48	0.0	0	0	Spanner	3/4	2	1	0																					
17	17	48	48	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	103																	
17	17	49	49	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	104																	
17	17	50	50	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	105		articAccentAbove															
18	18	51	51	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	106																	
18	18	51	51	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	107																	
18	18	51	51	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	108		articAccentBelow								16							
