mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin	Ottava:8va
1	0	0	0	0.0	0	1/2	Tempo	3/4	1	1	0								Lento,manontroppo	71.0			1.0						
1	0	0	0	0.0	0	1/2	Tempo	3/4	1	1	0								𝅘𝅥=144	144.0	𝅘𝅥	144.0	1.0						
1	0	0	0	1.0	0	1/2	Chord	3/4	1	1	1/4		1/4	1	0									0					
2	1	1	1	0.0	0	0	Dynamic	3/4	1	1	0					f								0					
2	1	1	1	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	1									0					
2	1	7/4	7/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	2									0					
2	1	2	2	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	3									0					
2	1	3	3	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	4									0					
2	1	1	1	0.0	0	0	Spanner	3/4	2	1	0														0	0			
2	1	1	1	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	5										0	0			
2	1	2	2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	6										0	0			
2	1	3	3	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	7										0	0			
3	2	4	4	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	8		articAccentAbove							0					
3	2	6	6	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	9									0					
3	2	4	4	0.0	0	0	Spanner	3/4	2	1	0																		
3	2	4	4	0.0	0	0	Spanner	3/4	2	1	0														1	1			
3	2	4	4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	10										1	1			
3	2	5	5	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	11										1	1			
3	2	6	6	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	12										1	1			
4	3	7	7	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	13									0					
4	3	31/4	31/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	14									0					
4	3	8	8	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	15									0					
4	3	17/2	17/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	16									0					
4	3	9	9	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	17									0					
4	3	7	7	0.0	0	0	Spanner	3/4	2	1	0																		
4	3	7	7	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	18									1					
4	3	8	8	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	19									1					
4	3	9	9	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	20														
4	3	7	7	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	21														
5	4	10	10	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	22									0					
5	4	10	10	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	23		articAccentBelow							0					
5	4	12	12	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	24														
5	4	10	10	0.0	0	0	Spanner	3/4	2	1	0														2	2			
5	4	10	10	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	25										2	2			
5	4	11	11	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	26										2	2			
6	5	13	13	0.0	0	0	Dynamic	3/4	1	1	0					fz													
6	5	13	13	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	27		articStaccatissimoAbove												
6	5	27/2	27/2	0.0	1/8	1/8	Spanner	3/4	1	1	0																	0	
6	5	55/4	55/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	28		articStaccatoAbove							2				0	
6	5	14	14	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	29		articStaccatoAbove							2				0	
6	5	29/2	29/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	30									2				0	
6	5	15	15	0.0	1/2	1/2	Spanner	3/4	1	1	0																		
6	5	15	15	0.0	1/2	1/2	Spanner	3/4	1	1	0																0		
6	5	15	15	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	31												0		
6	5	13	13	0.0	0	0	Spanner	3/4	2	1	0																		
