mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	diminuendo_line	crescendo_line	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>	Ottava:8va
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0								Vivace	172.0	1.0								
1	1	0	0	0.0	0	0	Dynamic	3/4	1	1	0					fz													
1	1	0	0	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	0		articStaccatoAbove												
1	1	1	1	0.0	1/4	1/4	Spanner	3/4	1	1	0															0			
1	1	1	1	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	1							0				0			
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	2							0				0			
1	1	2	2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	3							0				0			
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	4							0				0			
1	1	0	0	0.0	0	0	Spanner	3/4	2	1	0																0	0	
1	1	0	0	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	5												0	0	
1	1	2	2	0.0	1/2	1/2	Spanner	3/4	2	1	0																		
2	2	3	3	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	6											0			
2	2	7/2	7/2	0.0	1/8	1/8	Spanner	3/4	1	1	0																		
2	2	15/4	15/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	7							1							
2	2	4	4	0.0	1/4	1/4	Spanner	3/4	1	1	0											1				1			
2	2	4	4	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	8							1				1			
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	9							1				1			
2	2	4	4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	10							2							
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	11							2							
3	3	6	6	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	12											1			
3	3	13/2	13/2	0.0	1/8	1/8	Spanner	3/4	1	1	0																		
3	3	7	7	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	13							3							
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	14							3							
3	3	8	8	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	15		ornamentShortTrill					3							
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	16							3							
3	3	6	6	0.0	0	0	Spanner	3/4	2	1	0																1	1	
3	3	6	6	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	17												1	1	
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	18		articAccentAbove										1	1	
4	4	9	9	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	19		articStaccatoBelow												
4	4	39/4	39/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	20							4							
4	4	10	10	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	21							4							
4	4	11	11	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	22							4							
4	4	9	9	0.0	0	0	Spanner	3/4	2	1	0																		
4	4	10	10	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	23							5							
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	24							5							
5	5	12	12	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	25		articAccentBelow												
5	5	13	13	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	26							6							
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	27							6							
5	5	14	14	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	28		ornamentShortTrill					6							
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	29							6							
5	5	12	12	0.0	0	0	Spanner	3/4	2	1	0																2	2	
